pCode,team,name,displayId,backNo,position,throwBat,birthday,heightWeight,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MultiHit,RISP_AVG,PH_AVG
69207,삼성,김태근,삼성64김태근,64,외야수,우투우타,1996년 08월 10일,175cm/74kg,0.333,11,14,12,2,4,0,0,0,4,0,0,0,2,0,0,4,0,0.333,0.429,0.762,0,0.000,0.500
67449,삼성,김성윤,삼성39김성윤,39,외야수,좌투좌타,1999년 02월 02일,163cm/62kg,0.331,127,538,456,92,151,29,9,6,216,61,10,2,65,0,5,54,11,0.474,0.419,0.893,45,0.402,0.400
62404,삼성,구자욱,삼성5구자욱,5,외야수,우투좌타,1993년 02월 12일,189cm/75kg,0.319,142,616,529,106,169,43,2,19,273,96,1,8,73,7,5,91,9,0.516,0.402,0.918,46,0.351,0.333
54400,삼성,디아즈,삼성0디아즈,0,내야수,좌투좌타,1996년 11월 19일,188cm/105kg,0.314,144,628,551,93,173,32,0,50,355,158,0,11,60,10,6,100,15,0.644,0.381,1.025,50,0.352,1.000
69418,삼성,박승규,삼성66박승규,66,외야수,우투우타,2000년 09월 02일,178cm/78kg,0.287,64,200,174,39,50,5,0,6,73,14,1,0,21,0,4,43,2,0.420,0.377,0.797,12,0.200,0.143
69442,삼성,김도환,삼성24김도환,24,포수,우투우타,2000년 04월 14일,178cm/90kg,0.286,6,14,14,3,4,1,0,0,5,1,0,0,0,0,0,4,0,0.357,0.286,0.643,1,1.000,0.000
50458,삼성,김지찬,삼성58김지찬,58,외야수,우투좌타,2001년 03월 08일,163cm/64kg,0.281,90,373,317,59,89,9,2,0,102,23,10,3,38,0,5,44,7,0.322,0.364,0.686,24,0.286,0.000
62234,삼성,류지혁,삼성16류지혁,16,내야수,우투좌타,1994년 01월 13일,181cm/75kg,0.280,129,464,400,54,112,14,0,1,129,37,14,4,33,0,13,73,11,0.323,0.351,0.674,29,0.247,0.200
65586,삼성,전병우,삼성61전병우,61,내야수,우투우타,1992년 10월 24일,182cm/93kg,0.273,59,97,77,11,21,2,0,1,26,13,0,0,19,0,1,27,3,0.338,0.423,0.761,2,0.381,0.412
74540,삼성,강민호,삼성47강민호,47,포수,우투우타,1985년 08월 18일,185cm/100kg,0.269,127,465,412,37,111,23,1,12,172,71,1,7,38,4,7,69,16,0.417,0.336,0.753,26,0.333,0.300
54408,삼성,양도근,삼성68양도근,68,내야수,우투우타,2003년 02월 06일,173cm/72kg,0.259,116,198,166,23,43,5,0,0,48,16,11,1,18,0,2,41,3,0.289,0.337,0.626,12,0.220,0.286
52415,삼성,이재현,삼성7이재현,7,내야수,우투우타,2003년 02월 04일,180cm/82kg,0.254,139,555,457,82,116,29,1,16,195,67,10,8,69,1,11,119,8,0.427,0.360,0.787,29,0.256,0.333
